title,album,release_year,lyrics
Да что романтичного в птичках?,"Питер, чай, не Франция",2020,С неба падают на землю птицы Мне понадобится потрудиться Чтобы суть поймать как Марко Поло Ах вы птица ещё та но жаль что я не орнитолог Но гнётся ваша ветка Тучи пузырятся дождь слюны течёт по перьям а те пенятся в ответ Но только вместо пенья птиц вы слышите хихи Хоть убей не понимаю как вы пишете стихи где вы В небе как синичка отлично тоже мне Да что романтичного в птичках Можете мне не объяснять И ваша мне была скучна ласточка Мне как ни крути вас не понять и вы В небе как синичка отлично тоже мне Да что романтичного в птичках Можете мне не объяснять И ваша мне была скучна ласточка Мне как ни крути вас не понять и вы В небе как синичка Я очень рад но На любого журавля найдётся мальчуган с рогаткой Так что лучше птичку всётаки в руках И вам бы тоже мисс не стоило витать бы в облаках ахаххахаха А мне бы перед тем Хотелось знать кто вам наврал о том что небо не предел Допустим может быть и так Но там вы рухнете балластом Ах ну кто же вам сказал мадам что небо безопасно И вы В небе как синичка отлично тоже мне Да что романтичного в птичках Можете мне не объяснять И ваша мне была скучна ласточка Мне как ни крути вас не понять и вы В небе как синичка отлично тоже мне Да что романтичного в птичках Можете мне не объяснять И ваша мне была скучна ласточка Мне как ни крути вас не понять и вы В небе как синичка
Кукловод,Сердце не бьётся,2024,Паутиной кружева Платья из белого ситца На щеках зарево А под маской убийца убийца убийца Рукикамни лежат на ногах Неподвижно ненавижу Губы рваные воск залижет Тише тише вдруг он всё услышит Теряются обстоятельства нам назло Неизменно одно я кукла в клетке Смотрят в окно глазамонетки За ниточки тянет кукловод только кто За ним прячет лицо Он держит меня крепко Он холоден и жесток Паутиной кружева Паук плетёт свои сети Красивая его жертва В восторге все взрослые их рады дети Только когда полная луна В небе как снегирь на ветке Пропадает ктото навеки Открой глаза зашей её веки Пялятся две пуговицы вдаль Глядит хтоническая тварь из её кукольных глазниц она злится И под действием чарующей сизигии В гипнозе снова подчинится старый пупенмейстер ей Он похищает детвору из тёмного двора Каждую полную луну кормить пора духа внутри марионетки В череде своей он с куклой Запирал украденных детей на чердаке И едва он свечу руками тушит В ту же секунду дети корчатся от ужаса как тараканы в луже Это кончится к утру и кукловод вернув контроль Найдёт очередной окоченевший труп И через неделюдве на новой ярмарке Опять смотря его паноптикум в передвижном ларьке Вдруг неожиданно найду за витриной на виду Восковых фигурок больше на одну
mea maxima culpa,mea maxima culpa,2025,Шаг от страха до культа Я ко дну иду как Вирджиния Вульф Таки у меня одна всегонавсего пулька Для тебя моя миа максима кульпа И не нашли нигде мы дом А ярко красная Луна меж облаками отекла как гематома И великое Ничто забыто как вещь лежит А пришествия второго никогда Вечный жид Не дождется Дулю с маком Небеса подали знак И на колено Пади ниц Идет Мария Магдалена Подле немо два голема Таки глиняные морды эти Ее эскорт и чтоб твердо идти По воде не нужно чудо Фокус в том Чтобы обратились воды Иордана льдом Фатаморгана гром Не скорбите по умершим И ядерной зимой мы через реку перейдем Как через бездну Уберменши Судьба такаярассякая вся Сколько не молись но недостаточно раскаяться Пляска раз такая получается вину с себя я как сниму Маю кульпу маю миа максиму Моя миа максима кульпа Она мне сносит башню как катапульта Она во мне не триедина но сопряжена Аве Мария Деус Вульт И величайшая вина Миа кульпа Моя миа максима кульпа Она мне сносит башню как катапульта Она во мне не триедина но сопряжена Аве Мария Деус Вульт И величайшая вина Миа кульпа Мою вину сопроводив в Иерусалим Господь суров но справедлив Да конечно Но мы люди принадлежны веществу Я виноват лишь потому что я дышу и существую Вот только как бы себя поделить на ноль Из головы легко любые мысли выгоняет боль А раз «когито эрго сум» то я понял Значит я не существую пока чувствую агонию А значит не виновен пред тобой ни в чем Отец Покуда бью макушку о торец А тогда надо постараться Мне пиздец говорит психолог И то что я теперь на вид как будто бы из hall of meat Кусок мяса Небесам не дозвониться и в себе Ктото видит лишь лишенный дефиниции субъект Я бездумно мог подбирать слова И нету ходу из бездонной ямы Над Европою бездомный бог ходит И Судьба такаярассякая вся Сколько не молись но недостаточно раскаяться Пляска раз такая получается вину с себя я как сниму Маю кульпу маю миа максиму Моя миа максима кульпа Она мне сносит башню как катапульта Она во мне не триедина но сопряжена Аве Мария Деус Вульт И величайшая вина Миа кульпа Моя миа максима кульпа Она мне сносит башню как катапульта Она во мне не триедина но сопряжена Аве Мария Деус Вульт И величайшая вина Миа кульпа
Веснушки,"Питер, чай, не Франция",2020,Тонут тучи в бездне луж к ним Опадает вся листва как безделушки Но только ты Не называй меня бездушным Ты пойми я просто коллекционирую веснушки И чтоб родиться звездам нужно миллиарды лет У нас нет времени их ждать А потому я провожу меж рыжих точек Сотни линий чтобы сто новых созвездий Осветили все вокруг и я видел куда бежать И как не жаль И как бы не было бы тяжко если я усну под небом То накройте деревяшкой я больше не заслужил И как не проси смерти про себя Но ты попробуй это ей в глаза скажи дрожи И не думай о вечном И важно только что сохранило бы мою речь Но однажды позабудете испуг вы Тот с которым знаки распадаются на звуки и на буквы Приобретая смерть Почерком резким Я рисую между точек отрезки От пяток до макушки Так Соединяются в созвездия веснушки Соединяются веснушки Так соединяются веснушки Все в белом инее топя топя Соединяются В созвездие по имени тебя тебя тебя Почерком резким Я рисую между точек отрезки От пяток до макушки Так Соединяются в созвездия веснушки Соединяются веснушки Так соединяются веснушки Все в белом инее топя топя Соединяются В созвездие по имени тебя тебя тебя И я как не смотри таков Что такого мешка цинизма не видел Мариенгоф И ты десятый раз спроси как делишки Коекак но Стоит жить хотя бы ради пьяной вишни Хотя бы ради сахара на розовых губах И воздух розами пропах Так умирают небеса И я кажется расклеился опять и как не просишь помогино себя каждый лепит сам И я налепил себя как лейкопластырь На золушки натертую ступню хрустальной туфелькой Хоть и проще было склеить ласты и между нами говоря Мы будем съедены как трюфель но В конце концов еще Не зная стал бы кем Человек найдет себя внутри сказаний и легенд И время не потащит под косу его Если будет хоть одно неподлежащее сказуемо Так что расскажи мне Почерком резким Я рисую между точек отрезки От пяток до макушки Так соединяются в созвездия веснушки Соединяются веснушки Так соединяются веснушки Все в белом инее топя топя Соединяются В созвездие по имени тебя тебя тебя Почерком резким Я рисую между точек отрезки От пяток до макушки Так соединяются в созвездия веснушки Соединяются веснушки Так соединяются веснушки Все в белом инее топя топя Соединяются В созвездие по имени тебя тебя тебя Почерком резким Я рисую между точек отрезки От пяток до макушки Так соединяются в созвездия веснушки Соединяются веснушки Так соединяются веснушки Все в белом инее топя топя Соединяются В созвездие по имени тебя тебя тебя
тёмная сторона Бога,mea maxima culpa,2025,Я слышу отовсюду крики человечьи Так остро режет В руке горя как крикет его меч Он катастроф посланник Он азесмь меон Он за стеклом Глаза зеркал Он голос звёзд Язык и второй симболон Он энергема Тело текста и дескриптор пустоты Он замечательный предел Он Deus ex и форма тьмы Изнанка и Туман войны Вечные льды и суть огня Различие Обратная луны Тень Имени Христа Свисала с высока над городом атропа У алого заката распорота утроба Обратная луна тень от имени Его там К нам обернётся тёмной стороною Бога Свисала с высока над городом атропа У алого заката распорота утроба Обратная луна тень от имени Его там К нам обернётся тёмной стороною Бога В чём тайна власти и могущество Креста и бус Его боялся Зевс Юпитер убегал как трус Как и любой Асгарда Ас Ну а Анубис только мог На своём капище скулить как обессиленный щенок Что за изнанкою луны Так сотрясает божий дом Тенями тёмной стороны напуган Тетраграмматон Это хтонический недуг Если читать наоборот имя Христа То в нём окажется сто сорок тысяч букв Это тень имени что дал ему Не БогОтец но одновременно с ним Чейто шёпот через трещину в изнанке А смерть для Него тот самый Другим всем человеческим Богам Непостижимый Трансгрессивный Переход Я твоя воля я твой раб Я свидетель пустоты Я паду подле твоих ног С какой угодно стороны Ты Бог богов Ты судный день Ты сопряжение миров Ты носишь Имя что отбрасывает Тень Свисала с высока над городом атропа У алого заката распорота утроба Обратная луна тень от имени Его там К нам обернётся тёмной стороною Бога Свисала с высока над городом атропа У алого заката распорота утроба Обратная луна тень от имени Его там К нам обернётся тёмной стороною Бога
дьявол в деталях,mea maxima culpa,2025,Просыпаются птицы в моём саду Срываются с земли набирается высота Тёмные черты обретаются на свету В уродливых сердцах ограняется красота Мы делим десятичную дробь будто карабин Как выстрелы мы вновь разлетались по городам Давно уже привычно любовь это карантин Что дьявола в деталях я вычислю по рогам Излишне был уверен со всеми наперекор В ней видел благодать и спасение видел дар Но в худой руке вдруг из тени мизерикорд Предательски блеснёт я подставился под удар Под землю или в небо мне разницы нет почти Ангельские глаза будто райские светлячки Крадётся вечная ночь Единственная свеча Очи твои как будто две лампочки Ильича Из холодного льда я Вырезаю тебя Ангелы не летают Я гуляя по краю Не знал Что дьявол в деталях Скрывает себя Из холодного льда я Вырезаю тебя Ангелы не летают Я гуляя по краю Не знал Что дьявол в деталях Скрывает себя Сегодня какойто другой закат Нам переждать бы ночь но рассвета в ноктюрне нет В извечной темноте я скитаюсь как вурдалак И ледяная скорбь пробирает до самых недр А мир не меняется как ты ни посмотри Теперь хочу как грустная скрипка запеть и я Ни на одну секунду не переставал скорбеть С годами забываю дескрипторы бытия Но так и остаюсь редуцирован по тебе От холода трясусь как натянутая струна Но только свою тень проецирую на стене Влюбленные глаза её прямо как из костра Огненными шарами на усолони моей Медленно открывались тону в них я все слабей Взгляда не отвести они пялятся на меня Дьявольская деталь эти ангельские глаза Из холодного льда я Вырезаю тебя Ангелы не летают Я гуляя по краю Не знал Что дьявол в деталях Скрывает себя Из холодного льда я Вырезаю тебя Ангелы не летают Я гуляя по краю Не знал Что дьявол в деталях Скрывает себя
Я приду к тебе с клубникой в декабре,Я приду к тебе с клубникой в декабре,2018,Там где океан касаток И хитрый жук по небу Катит солнца шар на запад И еле тлеющей дугой Как хвост электроската моя тоска На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли Не смогли На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли Не смогли Все полимеры пропиты но мы живы вроде бы И против всех законов логики Дороги сходятся в одну мелодию один мотив Дай мне только как рычаг гитарный гриф Пусть он будет мне опорой я тогда как Архимед Переверну весь мир на одно счастье и семь бед И все по дурости все что вырастил как Тамагочи Или выживший за годы и почти что обесточен Но мой кораблик из бумаги тайфуном не испугать И в результате он никак не тонул Но я боюсь устать тогда внутри естествоиспытатель Вдруг кораблик мой прикатит во тьму И дабы не пропасть и там не сгинуть Я хватаю как за нить за платье белую богиню Висящей луны вдалеке чтоб не сесть на мель И если карты нет я ориентируюсь по ней На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли Меняют снова полюса холодная тоска и в центре груз Спит крепким сном венец творенья Там колыбель во льдах и каждый шаг Дыханье северных ветров меняет направленье И на моем борту есть самый ценный груз И я везу клубнику через ураганы но боюсь И если я не справлюсь утонут плоды и не спасут их Но тут нет пути назад удача любит безрассудных Безрассудных Я видел ироничный злой оскал Клыкастой пасти скал И дабы не пропасть искал Разрушенный маяк Но люди говорят мол Тексты не горят Но я сжигал в них все и птицей отпускал А что если я скажу что это не метафора Трещит обшивка батискафа И дабы обмануть судьбу Везу клубнику через шторм и бури ты встречай меня в порту На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли На самом одиноком корабле Я приду к тебе с клубникой в декабре Или в январе или в феврале или еще попозже Лишь один вопрос а ты дождаться сможешь а На самом одиноком корабле Я приду к тебе с клубникой в декабре Или в январе или в феврале или еще попозже Лишь один вопрос а ты дождаться сможешь а На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли На самом одиноком корабле Я приду к тебе с клубникой в декабре Просто верь мне как ребенок что так можно Тогда сможешь ты сорвать плоды Те что другие не смогли Смогли
трупный синод,mea maxima culpa,2025,Я заклинаю пустоту Как играю на басу Я взываю небеса Но призываю Набасу Как это и почему Мне демон отвечает Там гнили облака Какие небеса такие ангелы Склоняется как в реверансе череда Могильных роз Иду как Цезарь по германским черепам И косо пялюсь на кладбищенского ворона В упор У нас украдено грядущее не сыщется кто вор А нам пришествия второготаки не видать по праву Пока не повесят на кресты Пилата и Варавву Да они мертвы как не суди Но смерть не оправдание Их надо бы достать давно изпод земли Это не трудно всегото Надо выкопать подонков И устроить им трупный синод Жалко человека века верх это не больше ста лет Зима И снег падает как перхоть божества Пылай пепелище Люди ищут слова там И шлют на три буквы семь нот Гуляй по кладбищу лопата Идёт трупный синод Пылай пепелище Люди ищут слова там И шлют на три буквы семь нот Гуляй по кладбищу лопата Идёт трупный синод Мы попадём с тобою в Ад Но там не будет для нас мест Ведь мы окажемся в Аду Ради резни в составе воинства Небес Беспрецедентный геноцид Вдоль девяти кругов Мы порубили всех чертей как огурцы молодцы Нету покоя голове в венце Костёр горит В нём еретик шипит как АЦЦ Не сгорая до конца никак В страсти не сорвись Люди дохуя хотят Но перебьются как фарфоровый сервис А полумесяц как усы Рене Генона Крути веретено за ним тяни петлю аркана Не верю игемону это чепухариторика Держу его башку как гамлет черепушку Йорика Будто два фонарика глаза твои Слова в ушах отрава как у принца датского отца Ветра меняют полюса И Претор ты не прав Я как в подушку Игольную Забью Пару гвоздей в твою макушку Пылай пепелище Люди ищут слова там И шлют на три буквы семь нот Гуляй по кладбищу лопата Идёт трупный синод Пылай пепелище Люди ищут слова там И шлют на три буквы семь нот Гуляй по кладбищу лопата Идёт трупный синод
я краснею при тебе как...,я краснею при тебе как...,2023,Настроение таксяк Оно как раз чтобы накинуть грустный рэп под пианину из 2010го Как VST плагины в небе звёздочки висят За встречу бы накинуть водочки по пятьдесят Ты к семье я на гастроли Стало ясно раньше мы не столько разрушали сколько не умели строить Боль меняет нас но боль пройдёт остаться бы людьми Раз не может речи быть уже ни о какой любви Это клёво разве нет Нас жизнь однажды скрутит будто йога На спине тащить что бог даёт но чтото ёкает во мне и я не понимаю Ёкает не сердце ёкают минувшего Ёкаи Это призраки истлевшего привидения прошлого Ностальгия клешнями тянется в окошко Мелодия знакомая до тошноты и рвоты Вальс на выпускном физтеха Третий курс Black Roze Garrote Хоть и тыщу лет как отпустило Хоть две тыщи лет уже не слушаю Земфиру Солнце так же я краснею при тебе как ГромЗадира Всё ещё краснею при тебе как ГромЗадира Хоть и тыщу лет как отпустило Хоть две тыщи лет уже не слушаю Земфиру Солнце так же я краснею при тебе как ГромЗадира Всё ещё краснею при тебе как ГромЗадира Иногда мне некому писать И порою забываем то что мы давно не дети Когда истинная близость это как электростатика То все в мире песни о любви это патетика апатия Всё это не работает Прошлое на донце раковины видно будто в Гарри Поттере А флешбеки вяжут по рукам как хомутами тебя Это нонсенс кемто нассано в омут памяти На солнце стало больше чёрных пятен Я лажаю через ноту нам с тобою больше не о чем болтать Я идиот ты идиома и мы осознаём с годами Оказалось мы из разного биома Ты по утрам встаёшь я ночью выходя из дома В полной темноте бреду в закат за дланью Аббадона Нам пора бы выгонять себя давно из сказки вон А я танцую и подхватывая ритм саксофона магию пою магию пою Хоть и тыщу лет как отпустило Хоть две тыщи лет уже не слушаю Земфиру Солнце так же я краснею при тебе как ГромЗадира Всё ещё краснею при тебе как ГромЗадира Хоть и тыщу лет как отпустило Хоть две тыщи лет уже не слушаю Земфиру Солнце так же я краснею при тебе как ГромЗадира Всё ещё краснею при тебе как ГромЗадира магию пою Хоть и тыщу лет как отпустило или две может быть Хоть две тыщи лет уже не слушаю Земфиру или может даже три Солнце так же я краснею при тебе как ГромЗадира Всё ещё краснею при тебе как ГромЗадира Хоть и тыщу лет как отпустило Хоть две тыщи лет уже не слушаю Земфиру Солнце так же я краснею при тебе ГромЗадира Я краснею при тебе как ГромЗадира
клятвы,mea maxima culpa,2025,Люди приносят клятвы Люди приносят клятвы Люди приносят клятвы Быть и в горести и в радости В остроте и сладости Звучит здорово только бессмертие горчит И когда мои кости захрустят как читос Если не сведёт любовь То и смерть не разлучит нас Это факт А клятвы липкие как дикий мёд Обещай Что наше вместе навсегда пройдёт И клянись Ни в горести ни в радости Не быть со мной пока нас не сведёт В один функциональный ряд истинно я И она башню сносит мне как трынтрава Я чтото шепчу под нос и как чую в груди труба Иерихона Даже самые искренние слова Со стороны звучат порою как визг и белиберда Нескончаемый кошмар нам не выйти из сомнамбулы Над гнездом кукушки пролетали ангелы Ветхозаветные Ангелы Нам такие любимые Но безответные Не видно звёзд На потолке Моя любовь это как пёс на поводке К тебе с цепи срывается Туши окурки Сливается добро и зло в одно за дверью дурки Не видно звёзд На потолке Моя любовь это как пёс на поводке К тебе с цепи срывается Туши окурки Сливается добро и зло в одно за дверью дурки За дверями дурдома всё перемешано Я твой герой только старый как Гильгамеш Одна любовь как гильотина Я слеп как Иллидан Ору как Ева ноль один И ты представь эту картину мы вдвоём Я говорю люблю тебя но произношу имя не твоё Злая правда или просто орфография А вдруг Я ошибся одновременно на все пять букв Одному богу знать Другим богам не догадаться Язык петляет и спотыкается в коннотациях И как не уколи себя Сон разума покинуть не получится Мне ни в коем случае не клянись И кстати говоря там Ты ни в горести ни в радости Пообещай не быть со мною рядом Мы не сойдёмся взглядами если твои лучи глаз Мой не сведёт То и смерть не разлучит нас Ах как мучительно память моя звучит класс Осела пылью на мне и не замолчит Раз смахнуть веником смелости у меня Не хватило Как на Фениксе пелось у Хамиля О том что часто древние с недоверием смотрели На тех кто давал клятвы с нетерпением А где верность в каком обличии Штукатурка Давно трещит уже над дверью дурки Не видно звёзд На потолке Моя любовь это как пёс на поводке К тебе с цепи срывается Туши окурки Сливается добро и зло в одно за дверью дурки Не видно звёзд На потолке Моя любовь это как пёс на поводке К тебе с цепи срывается Туши окурки Сливается добро и зло в одно за дверью дурки
Чёрное солнышко,МОЯ МИЛАЯ ПУСТОТА,2019,Себя за тучкой прячет Там по небу гдето катится Маленький бурый мячик Но явилось второе солнце И первое рядом с ним даже кажется не горячим Его зёрнышко упало когдато ещё давно Прямо в сердце поля тюльпанов И выросло из цветов В лицо горя тебе И светится грибами ядерными Моё чёрное солнце Мы дети таблеток дети рекламы Тяжело больны к выходу ломимся как тараны И там дорога прямая в телеэкраны Но с теми кто там бывал уже давно Не справляются доктора И у каждого своя рана И комуто небо в сеточку Ну а комуто море изпод крана Комуто не быть кометой Комуто гореть так рано А комуто бить по гробам А комуто по барабану Но не сомневайся братик Однако Мы все годимся чтобы собой землю удобрять Одинаково так что Если пятый раз щёлкается затвор Оба понимаем мы к чему клонится разговор К чему катится солнца шар И с ним косится горизонт И к чему не лежит душа Почему ты тогда пришёл Но поновому горя Тебе готовое принять И нас не выпустить из пламенных объятий Моё чёрное солнце Горит оно нам там на весь мир А с ним новая доминанта горит И я счёл это сон лишь но Вдруг взошло моё чёрное солнышко Горит оно нам там на весь мир А с ним новая доминанта горит И я счёл это сон лишь но Вдруг взошло моё чёрное солнышко Крыши людьми рыгали Я под ними видел тех по кому даже не рыдали Совсем И сколько обведённых тел И мелом к ним комментариев А ты представь если б асфальт мог разговаривать И сколько разбивалось о бетон И сколько слёз было вылито прямо на тротуар И что он бы сказал в ответ Да в общемто ничего Несмотря на всю ту печаль у асфальта эмоций нет А вот какойто человечишка Возомнил себе перечить богам Искусство и долото взял и чувством Наделил холодный мёртвый камень А вот люди почемуто ведут себя как бетон Живут и все как бы тонут Жрут и на всё готовы Желудок не голова переварит не зная что это И нас таких даже не миллион и не два Посмотри посмотри тут внутри у всех ядерная война Себя за тучкой прячет Там по небу гдето катится Маленький бурый мячик Но явилось второе солнце И первое рядом с ним даже кажется не горячим Его зёрнышко упало когдато ещё давно Прямо в сердце поля тюльпанов И выросло из цветов В лицо горя тебе И светится грибами ядерными Моё чёрное солце ооо Моё чёрное солце ооо Моё чёрное солнышко ооо Моё чёрное солнышко ооо Моё чёрное солце ооо Моё чёрное солнышко ооо Моё чёрное солнышко ооо Моё чёрное солнышко ооооу Горит оно нам там на весь мир А с ним новая доминанта горит И я счёл это сон лишь но Вдруг взошло моё чёрное солнышко Горит оно нам там на весь мир А с ним новая доминанта горит И я счёл это сон лишь но Вдруг взошло моё чёрное солнышко
звёзды все принадлежат богам,геометрия тьмы,2022,Ни любви ни ненависти ни жалости И я ползти давно готов от усталости Но не осталось ничего я напою себе под нос Что старости не боюсь И белый голубь символ мира ворона символ отчаянья Порою знаки значимы больше чем означаемы Нарративный тупик как выбраться из неволи Киваю идея есть и лишаю тебя символики Теперь ты просто птица улетай куда желаешь Я буду за тебя молиться чтоб пережила меня Пережила друзей пережила любовь переждала мороз А солнца мяч как на Ролан Гаррос Тудасюда день и ночь вторая ступень и первая ракетка Покидает землю это паритет Но нужны ли человеку звёзды и он нужен ли им сам Звёзды всётаки принадлежат богам А звёзды все принадлежат богам Их не поймать они не падают к ногам И не уместен торг по рукам Птице небо человеку смерть Звёзды все принадлежат богам Звёзды все принадлежат богам Их не поймать они не падают к ногам И не уместен торг по рукам Птице небо человеку смерть Звёзды все принадлежат богам И может есть чтото выше Что отличает птицу от летучей мыши Может крылья непохожи но окажется Разницы никакой ведь задача одна и та же Сами крылья ерунда ничё особенного в них нет Отчего берёза на Руси не утихнет никак не утихнет И на лесоповале столько лет Ёлки врали всему лесу смерти нет Но смерть это пространство смерть это длина и ширина И в своих странствиях через земную твердь Мышь и птица таки чувствуют поразному пространство И поразному так постигают смерть А может даже разную смерть и видны Были бы следы геометрии тьмы И чтобы с чем тогда соотнёс ты Небо океан любовь небытие звёзды Они далеко гдето там И даже те из них что сами пали к ногам не принадлежат нам Птице небеса рыбе океан Человеку смерть и звёзды богам А звёзды все принадлежат богам Их не поймать они не падают к ногам И не уместен торг по рукам Птице небо человеку смерть Звёзды все принадлежат богам Звёзды все принадлежат богам Их не поймать они не падают к ногам И не уместен торг по рукам Птице небо человеку смерть Звёзды все принадлежат богам И может есть чтото выше Что отличает птицу от летучей мыши Может крылья непохожи но окажется Разницы никакой ведь задача одна и та же
